Site_ID,Proposed_Region,Latitude,Longitude,Native_Title_Status
GF-SITE-001,Kimberley,-17.58537,123.1497,Pending
GF-SITE-002,Kimberley,-17.6308,127.91967,Pending
GF-SITE-003,Goldfields,-28.33296,123.58535,Approved
GF-SITE-004,Kimberley,-17.97552,127.87884,Approved
GF-SITE-005,Kimberley,-16.10166,125.35576,Approved
GF-SITE-006,Mid West,-26.02509,114.94748,Pending
GF-SITE-007,Pilbara,-21.76648,120.41239,Approved
GF-SITE-008,Kimberley,-14.27606,123.77578,Approved
GF-SITE-009,Mid West,-26.62242,117.4846,Approved
GF-SITE-010,Mid West,-28.77158,117.05656,Pending
GF-SITE-011,Kimberley,-17.18444,123.63299,Pending
GF-SITE-012,Mid West,-27.97355,116.00529,Pending
GF-SITE-013,Mid West,-26.4008,116.36301,Approved
GF-SITE-014,Goldfields,-26.13149,124.17779,Approved
GF-SITE-015,Goldfields,-26.26006,121.87414,Approved
GF-SITE-016,Gascoyne,-24.26321,114.0814,Approved
GF-SITE-017,Goldfields,-29.18985,124.76211,Pending
GF-SITE-018,Kimberley,-17.87426,128.13972,Approved
GF-SITE-019,Goldfields,-29.57397,123.33612,Pending
GF-SITE-020,Pilbara,-20.96347,116.38352,Approved
GF-SITE-021,Pilbara,-23.03751,119.56463,Approved
GF-SITE-022,Gascoyne,-24.46306,115.3412,Pending
GF-SITE-023,Gascoyne,-24.1664,115.95822,Approved
GF-SITE-024,Mid West,-26.70753,115.35014,Approved
GF-SITE-025,Pilbara,-22.03214,116.15353,Pending
GF-SITE-026,Gascoyne,-24.65276,115.21271,Pending
GF-SITE-027,Mid West,-27.93911,114.54415,Approved
GF-SITE-028,Kimberley,-15.57304,124.51566,Approved
GF-SITE-029,Kimberley,-16.98028,126.64593,Approved
GF-SITE-030,Mid West,-27.17336,117.27489,Approved
GF-SITE-031,Gascoyne,-24.7424,113.86207,Approved
GF-SITE-032,Pilbara,-22.50693,117.14759,Approved
GF-SITE-033,Kimberley,-14.56865,127.61095,Pending
GF-SITE-034,Kimberley,-15.94119,126.64851,Approved
GF-SITE-035,Mid West,-27.48453,116.29966,Approved
GF-SITE-036,Mid West,-27.96398,115.10287,Approved
GF-SITE-037,Goldfields,-29.69174,123.13749,Pending
GF-SITE-038,Pilbara,-21.04165,120.39504,Pending
GF-SITE-039,Mid West,-27.1917,115.26105,Pending
GF-SITE-040,Gascoyne,-25.73212,115.10447,Pending
GF-SITE-041,Goldfields,-29.79538,123.97878,Approved
GF-SITE-042,Mid West,-26.11897,116.29372,Approved
GF-SITE-043,Gascoyne,-24.16165,115.50976,Approved
GF-SITE-044,Mid West,-26.03548,116.34693,Pending
GF-SITE-045,Gascoyne,-25.8477,115.98302,Approved
GF-SITE-046,Gascoyne,-24.24231,115.59378,Approved
GF-SITE-047,Mid West,-26.95693,115.38828,Approved
GF-SITE-048,Kimberley,-14.55261,128.41222,Approved
GF-SITE-049,Mid West,-26.86858,115.1126,Approved
GF-SITE-050,Pilbara,-21.00508,119.24349,Approved
GF-SITE-051,Pilbara,-21.93561,117.19134,Pending
GF-SITE-052,Pilbara,-20.57264,120.92665,Pending
GF-SITE-053,Mid West,-28.90975,117.71983,Approved
GF-SITE-054,Gascoyne,-25.47477,113.93101,Pending
GF-SITE-055,Kimberley,-15.15324,125.6208,Approved
GF-SITE-056,Pilbara,-23.13662,120.08107,Approved
GF-SITE-057,Pilbara,-22.97281,116.01056,Approved
GF-SITE-058,Gascoyne,-25.03515,114.58493,Approved
GF-SITE-059,Kimberley,-15.96831,126.10396,Pending
GF-SITE-060,Gascoyne,-23.70112,115.19184,Pending
GF-SITE-061,Kimberley,-17.95518,122.54347,Approved
GF-SITE-062,Goldfields,-29.08142,121.4647,Approved
GF-SITE-063,Pilbara,-20.80678,117.44681,Approved
GF-SITE-064,Pilbara,-21.57654,116.42526,Approved
GF-SITE-065,Kimberley,-14.85532,123.79636,Pending
GF-SITE-066,Gascoyne,-24.39621,113.98747,Approved
GF-SITE-067,Gascoyne,-25.20902,115.1907,Approved
GF-SITE-068,Kimberley,-17.20578,127.02512,Approved
GF-SITE-069,Mid West,-26.252,114.51228,Pending
GF-SITE-070,Goldfields,-26.28271,125.76248,Approved
GF-SITE-071,Mid West,-26.49773,115.65993,Pending
GF-SITE-072,Kimberley,-16.25635,128.32089,Pending
GF-SITE-073,Mid West,-28.19398,114.75839,Pending
GF-SITE-074,Mid West,-26.25158,115.54682,Approved
GF-SITE-075,Kimberley,-15.18368,127.79676,Pending
