Site_ID,Proposed_Region,Latitude,Longitude,Native_Title_Status,Proximity_To_Infrastructure_KM
GF-SITE-001,Kimberley,-17.58537,123.1497,Pending,105.13688197057999
GF-SITE-002,Kimberley,-17.6308,127.91967,Pending,223.307176381765
GF-SITE-003,Goldfields,-28.33296,123.58535,Approved,228.982157041304
GF-SITE-004,Kimberley,-17.97552,127.87884,Approved,260.324170235537
GF-SITE-005,Kimberley,-16.10166,125.35576,Approved,363.98119235269803
GF-SITE-006,Mid West,-26.02509,114.94748,Pending,180.90855053229302
GF-SITE-007,Pilbara,-21.76648,120.41239,Approved,248.02427599362798
GF-SITE-008,Kimberley,-14.27606,123.77578,Approved,439.092207314292
GF-SITE-009,Mid West,-26.62242,117.4846,Approved,101.022557009646
GF-SITE-010,Mid West,-28.77158,117.05656,Pending,238.473085942066
GF-SITE-011,Kimberley,-17.18444,123.63299,Pending,171.03174221888
GF-SITE-012,Mid West,-27.97355,116.00529,Pending,162.833357919509
GF-SITE-013,Mid West,-26.4008,116.36301,Approved,213.945787872646
GF-SITE-014,Goldfields,-26.13149,124.17779,Approved,415.079479480042
GF-SITE-015,Goldfields,-26.26006,121.87414,Approved,295.821631042819
GF-SITE-016,Gascoyne,-24.26321,114.0814,Approved,80.6853592755596
GF-SITE-017,Goldfields,-29.18985,124.76211,Pending,336.067487648322
GF-SITE-018,Kimberley,-17.87426,128.13972,Approved,241.07186272059
GF-SITE-019,Goldfields,-29.57397,123.33612,Pending,209.52172693501402
GF-SITE-020,Pilbara,-20.96347,116.38352,Approved,53.789347963099395
GF-SITE-021,Pilbara,-23.03751,119.56463,Approved,317.53189999436904
GF-SITE-022,Gascoyne,-24.46306,115.3412,Pending,176.179106074514
GF-SITE-023,Gascoyne,-24.1664,115.95822,Approved,245.81517494755
GF-SITE-024,Mid West,-26.70753,115.35014,Approved,240.526206269388
GF-SITE-025,Pilbara,-22.03214,116.15353,Pending,160.03760073836298
GF-SITE-026,Gascoyne,-24.65276,115.21271,Pending,158.869372586744
GF-SITE-027,Mid West,-27.93911,114.54415,Approved,93.1144046229041
GF-SITE-028,Kimberley,-15.57304,124.51566,Approved,358.483627702655
GF-SITE-029,Kimberley,-16.98028,126.64593,Approved,260.38335645903504
GF-SITE-030,Mid West,-27.17336,117.27489,Approved,137.50786862117
GF-SITE-031,Gascoyne,-24.7424,113.86207,Approved,25.485658756282902
GF-SITE-032,Pilbara,-22.50693,117.14759,Approved,198.379334885912
