House_ID,Community_Name,Region,Current_Overcrowding_Index,Last_Refurbished_Date,Asset_Condition_Score
HSG-00001,Ardyaloon,Kimberley,6,2018-01-26,5
HSG-00002,Jigalong,Pilbara,6,2022-06-18,8
HSG-00003,Carnarvon Reserve,Gascoyne,4,2013-05-16,5
HSG-00004,Ardyaloon,Kimberley,8,2020-02-01,7
HSG-00005,Carnarvon Reserve,Gascoyne,4,2019-07-03,6
HSG-00006,Burringurrah,Gascoyne,4,2018-10-14,5
HSG-00007,Burringurrah,Gascoyne,6,2014-03-12,2
HSG-00008,Pia Wadjari,Mid West,1,2006-03-16,4
HSG-00009,Cheeditha,Pilbara,3,2023-04-13,6
HSG-00010,Mungullah,Mid West,3,2002-12-10,3
HSG-00011,Burringurrah,Gascoyne,8,2024-10-06,5
HSG-00012,Carnarvon Reserve,Gascoyne,5,2002-04-25,3
HSG-00013,Burringurrah,Gascoyne,4,2014-08-10,6
HSG-00014,Yandeyarra,Pilbara,2,2024-06-25,6
HSG-00015,Cheeditha,Pilbara,4,2024-01-31,5
HSG-00016,Warmun,Kimberley,4,2017-10-11,9
HSG-00017,Coonana,Goldfields,5,2002-12-05,4
HSG-00018,Cheeditha,Pilbara,7,2011-07-26,3
HSG-00019,Jigalong,Pilbara,5,2008-10-09,2
HSG-00020,Pia Wadjari,Mid West,2,2018-06-15,6
HSG-00021,Coonana,Goldfields,7,2019-05-15,6
HSG-00022,Tjuntjuntjara,Goldfields,5,2018-04-28,5
HSG-00023,Cheeditha,Pilbara,2,2007-07-03,4
HSG-00024,Pia Wadjari,Mid West,4,2012-03-20,7
HSG-00025,Coonana,Goldfields,6,2006-08-20,2
HSG-00026,Burringurrah,Gascoyne,6,2012-08-07,5
HSG-00027,Pia Wadjari,Mid West,4,2019-03-22,7
HSG-00028,Burringurrah,Gascoyne,7,2024-05-05,7
HSG-00029,Beagle Bay,Kimberley,3,2020-06-16,5
HSG-00030,Yulga Jinna,Mid West,6,2023-11-14,7
HSG-00031,Yulga Jinna,Mid West,4,2011-09-05,5
HSG-00032,Wongatha Wonganarra,Goldfields,3,2013-06-18,3
HSG-00033,Kalumburu,Kimberley,7,2017-07-07,8
HSG-00034,Coonana,Goldfields,5,2016-10-21,7
HSG-00035,Wakathuni,Pilbara,6,2014-01-18,4
HSG-00036,Carnarvon Reserve,Gascoyne,6,2022-07-14,8
HSG-00037,Wongatha Wonganarra,Goldfields,5,2020-03-13,8
HSG-00038,Coonana,Goldfields,1,2025-07-27,7
HSG-00039,Tjuntjuntjara,Goldfields,5,2026-04-02,5
HSG-00040,Tjuntjuntjara,Goldfields,5,2007-05-05,2
HSG-00041,Yandeyarra,Pilbara,5,2023-09-24,6
HSG-00042,Kalumburu,Kimberley,8,2022-03-26,5
HSG-00043,Yulga Jinna,Mid West,3,2021-01-15,5
HSG-00044,Burringurrah,Gascoyne,7,2019-08-28,6
HSG-00045,Cheeditha,Pilbara,4,2013-06-23,6
HSG-00046,Tjuntjuntjara,Goldfields,5,2012-04-01,7
HSG-00047,Jigalong,Pilbara,3,2023-12-08,5
HSG-00048,Kalumburu,Kimberley,4,1997-02-08,3
HSG-00049,Carnarvon Reserve,Gascoyne,6,2026-04-23,6
HSG-00050,Beagle Bay,Kimberley,5,2024-05-13,5
HSG-00051,Coonana,Goldfields,2,2019-01-09,5
HSG-00052,Mungullah,Mid West,4,1997-03-30,4
HSG-00053,Burringurrah,Gascoyne,5,2018-10-01,6
HSG-00054,Mungullah,Mid West,9,2023-04-11,6
HSG-00055,Pia Wadjari,Mid West,6,2012-11-03,5
HSG-00056,Yulga Jinna,Mid West,1,2024-06-19,5
HSG-00057,Ardyaloon,Kimberley,5,2013-12-10,10
HSG-00058,Beagle Bay,Kimberley,5,2020-02-23,6
HSG-00059,Burringurrah,Gascoyne,5,2009-10-29,3
HSG-00060,Cheeditha,Pilbara,8,2012-01-26,7
HSG-00061,Warmun,Kimberley,7,1997-04-16,4
HSG-00062,Kalumburu,Kimberley,8,2014-04-15,3
HSG-00063,Jigalong,Pilbara,6,2012-09-26,9
HSG-00064,Mungullah,Mid West,3,2002-05-05,4
HSG-00065,Wakathuni,Pilbara,5,2025-11-11,5
HSG-00066,Tjuntjuntjara,Goldfields,2,2016-10-27,6
HSG-00067,Burringurrah,Gascoyne,3,2022-02-22,6
HSG-00068,Coonana,Goldfields,3,2024-08-06,8
HSG-00069,Carnarvon Reserve,Gascoyne,3,2016-05-02,5
HSG-00070,Kalumburu,Kimberley,7,1998-09-21,3
HSG-00071,Carnarvon Reserve,Gascoyne,6,2024-09-11,8
HSG-00072,Beagle Bay,Kimberley,1,2023-07-30,6
HSG-00073,Beagle Bay,Kimberley,6,2014-04-01,7
