InputID,TargetID,Distance
GF-SITE-001,"122.2361","105136.88197058"
GF-SITE-002,"128.7384","223307.176381765"
GF-SITE-003,"121.3292","228982.157041304"
GF-SITE-004,"128.7384","260324.170235537"
GF-SITE-005,"128.7384","363981.192352698"
GF-SITE-006,"113.6622","180908.550532293"
GF-SITE-007,"118.5925","248024.275993628"
GF-SITE-008,"122.2361","439092.207314292"
GF-SITE-009,"118.4984","101022.557009646"
GF-SITE-010,"114.6144","238473.085942066"
GF-SITE-011,"122.2361","171031.74221888"
GF-SITE-012,"114.6144","162833.357919509"
GF-SITE-013,"118.4984","213945.787872646"
GF-SITE-014,"121.3292","415079.479480042"
GF-SITE-015,"121.3292","295821.631042819"
GF-SITE-016,"113.6622","80685.3592755596"
GF-SITE-017,"121.3292","336067.487648322"
GF-SITE-018,"128.7384","241071.86272059"
GF-SITE-019,"121.3292","209521.726935014"
GF-SITE-020,"116.8415","53789.3479630994"
GF-SITE-021,"118.5925","317531.899994369"
GF-SITE-022,"113.6622","176179.106074514"
GF-SITE-023,"113.6622","245815.17494755"
GF-SITE-024,"114.6144","240526.206269388"
GF-SITE-025,"116.8415","160037.600738363"
GF-SITE-026,"113.6622","158869.372586744"
GF-SITE-027,"114.6144","93114.4046229041"
GF-SITE-028,"122.2361","358483.627702655"
GF-SITE-029,"128.7384","260383.356459035"
GF-SITE-030,"118.4984","137507.86862117"
GF-SITE-031,"113.6622","25485.6587562829"
GF-SITE-032,"116.8415","198379.334885912"
GF-SITE-033,"128.7384","180154.557194458"
GF-SITE-034,"128.7384","224613.920249357"
GF-SITE-035,"114.6144","218917.69743762"
GF-SITE-036,"114.6144","102035.138250191"
GF-SITE-037,"121.4646","198665.278513057"
GF-SITE-038,"118.5925","204201.93331223"
GF-SITE-039,"114.6144","186843.360488139"
GF-SITE-040,"113.6622","173054.999802669"
GF-SITE-041,"121.4646","263654.269220671"
GF-SITE-042,"118.4984","226242.196562189"
GF-SITE-043,"113.6622","203542.327923057"
GF-SITE-044,"118.4984","223533.129964596"
GF-SITE-045,"113.6622","256886.933647232"
GF-SITE-046,"113.6622","208131.310126533"
GF-SITE-047,"114.6144","215612.167656084"
GF-SITE-048,"128.7384","139576.272461866"
GF-SITE-049,"114.6144","217105.039884356"
GF-SITE-050,"118.5925","101962.569373043"
GF-SITE-051,"116.8415","137445.264075311"
GF-SITE-052,"118.5925","245198.219887967"
GF-SITE-053,"118.4984","267925.890694847"
GF-SITE-054,"113.6622","70974.1502038658"
GF-SITE-055,"128.7384","341531.064586721"
GF-SITE-056,"118.5925","348065.106681574"
GF-SITE-057,"114.1264","225586.07325966"
GF-SITE-058,"113.6622","94700.2963756117"
GF-SITE-059,"128.7384","282975.372721999"
GF-SITE-060,"113.6622","203073.470854442"
GF-SITE-061,"122.2361","32560.4103805628"
GF-SITE-062,"121.3292","25452.6635490216"
GF-SITE-063,"116.8415","63483.492344588"
GF-SITE-064,"116.8415","102383.697489294"
GF-SITE-065,"122.2361","381293.364341787"
GF-SITE-066,"113.6622","63143.5049100095"
GF-SITE-067,"113.6622","158425.371082151"
GF-SITE-068,"128.7384","242030.971054843"
GF-SITE-069,"113.6622","174096.699384618"
GF-SITE-070,"121.3292","524107.375835186"
GF-SITE-071,"114.6144","272832.953307474"
GF-SITE-072,"128.7384","69645.2002910081"
GF-SITE-073,"114.6144","66134.8815570296"
GF-SITE-074,"113.6622","242605.747665534"
GF-SITE-075,"128.7384","120295.546386837"
GF-SITE-076,"121.4646","171595.994030934"
GF-SITE-077,"118.4984","98812.9274402384"
GF-SITE-078,"113.6622","115868.248068733"
GF-SITE-079,"113.6622","126805.739204612"
GF-SITE-080,"121.3292","169057.981510271"
GF-SITE-081,"113.6622","53999.8273382122"
GF-SITE-082,"128.7384","346112.779599885"
GF-SITE-083,"113.6622","178132.39807126"
GF-SITE-084,"113.6622","224865.040578212"
